Club,Map Name,Nearest Town,Terrain,Map grade,Grid ref of SW corner,Grid ref of NE corner,Expected Completion Date,"Size, sq km",,,,,,,,,,,,,,,
WEGO,Carmden Fort,"Crosshaven, Co. Cork",military fort,Local,X802614,X809619, ,2,,,,,,,,,,,,,,,
WEGO,Cominhas Forest,Coolbaun,forest,Local,M824239,M832938,Nov-09,1,,,,,,,,,,,,,,,
WEGO,Gorteen Bay,"Roundstone, Co. Galway",grassland,Local,L675371,L701369,completed,6,,,,,,,,,,,,,,,
WEGO,"Keel Strand, Achill","Keel, Achill","beach with small dunes, buildings and caravan pk",local,F634046,F643051,may 2010,0.75,,,,,,,,,,,,,,,
WEGO,"Loch an Bhalla, Gamna",Lettermore,lake with rugged edges and islands,local,L871231,L876237,april 2010,0.25,,,,,,,,,,,,,,,
WEGO,Merlin Park,Galway,forest,Local,M332255,M341264,Jun-09,1,,,,,,,,,,,,,,,
WEGO,Moneystown Hill,"Laragh, Co. Wicklow",forest,grade 2,T188952,T202972,"28/02/2006, completed",1,,,,,,,,,,,,,,,
WEGO,Mooghaun Wood,Newmarket on Fergus,"forest with roads, paths and tracks",local,R398698,R410709,may 2010,1,,,,,,,,,,,,,,,
WEGO,Mount Falcon,"Ballina, co. Mayo",parkland,Local,G239123,G341264,Oct-09,1,,,,,,,,,,,,,,,
WEGO,Oranmore,"Oranmore, Co. Galway",grassland,grade 1,M383252,M420280,"completed, 14/2/06",,,,,,,,,,,,,,,,
WEGO,Renmore Barracks,Galway,building and grassland,Local,M315245,M320260,completed,4,,,,,,,,,,,,,,,
WEGO,Renmore Barracks and balloughaun,Galway,building and grassland,local,M309241,M335244,completed,6,,,,,,,,,,,,,,,
WEGO,Renmore Barracks Pitch & Putt course,Galway,pitch and putt course,Local,M309241,M311249,completed,2,,,,,,,,,,,,,,,
WEGO,Tawnawully,"Lough Eske, Donegal",open mountain,championship,G980815,H040920,Apr-09,30,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
